STATION,YEAR,MONTH,RAINFALL_MM
INDORE,2000,1,14.9
INDORE,2000,2,18.0
INDORE,2000,3,0.3
INDORE,2000,4,36.6
INDORE,2000,5,0.0
INDORE,2000,6,70.7
INDORE,2000,7,84.8
INDORE,2000,8,45.5
INDORE,2000,9,59.7
INDORE,2000,10,0.0
INDORE,2000,11,34.3
INDORE,2000,12,6.4
INDORE,2001,1,0.0
INDORE,2001,2,0.0
INDORE,2001,3,0.0
INDORE,2001,4,0.0
INDORE,2001,5,4.7
INDORE,2001,6,96.5
INDORE,2001,7,84.2
INDORE,2001,8,53.4
INDORE,2001,9,94.8
INDORE,2001,10,2.7
INDORE,2001,11,0.0
INDORE,2001,12,0.0
INDORE,2002,1,11.9
INDORE,2002,2,11.5
INDORE,2002,3,0.0
INDORE,2002,4,25.6
INDORE,2002,5,0.0
INDORE,2002,6,86.6
INDORE,2002,7,70.4
INDORE,2002,8,57.9
INDORE,2002,9,96.3
INDORE,2002,10,3.6
INDORE,2002,11,12.2
INDORE,2002,12,12.2
INDORE,2003,1,4.3
INDORE,2003,2,0.0
INDORE,2003,3,6.7
INDORE,2003,4,6.8
INDORE,2003,5,0.6
INDORE,2003,6,109.6
INDORE,2003,7,63.8
INDORE,2003,8,98.3
INDORE,2003,9,69.4
INDORE,2003,10,6.9
INDORE,2003,11,0.0
INDORE,2003,12,0.0
INDORE,2004,1,10.9
INDORE,2004,2,5.1
INDORE,2004,3,0.0
INDORE,2004,4,0.0
INDORE,2004,5,1.8
INDORE,2004,6,117.7
INDORE,2004,7,85.2
INDORE,2004,8,41.6
INDORE,2004,9,81.2
INDORE,2004,10,1.2
INDORE,2004,11,4.3
INDORE,2004,12,27.9
INDORE,2005,1,20.8
INDORE,2005,2,33.1
INDORE,2005,3,16.7
INDORE,2005,4,0.0
INDORE,2005,5,7.0
INDORE,2005,6,49.0
INDORE,2005,7,58.8
INDORE,2005,8,61.6
INDORE,2005,9,64.3
INDORE,2005,10,21.3
INDORE,2005,11,9.5
INDORE,2005,12,0.0
INDORE,2006,1,10.2
INDORE,2006,2,0.0
INDORE,2006,3,15.4
INDORE,2006,4,10.0
INDORE,2006,5,0.0
INDORE,2006,6,85.9
INDORE,2006,7,117.3
INDORE,2006,8,56.2
INDORE,2006,9,60.5
INDORE,2006,10,28.2
INDORE,2006,11,24.3
INDORE,2006,12,21.4
INDORE,2007,1,0.1
INDORE,2007,2,0.0
INDORE,2007,3,3.5
INDORE,2007,4,10.5
INDORE,2007,5,5.3
INDORE,2007,6,74.7
INDORE,2007,7,92.5
INDORE,2007,8,58.6
INDORE,2007,9,75.5
INDORE,2007,10,14.5
INDORE,2007,11,0.0
INDORE,2007,12,0.0
INDORE,2008,1,9.3
INDORE,2008,2,8.5
INDORE,2008,3,0.0
INDORE,2008,4,6.2
INDORE,2008,5,12.2
INDORE,2008,6,101.7
INDORE,2008,7,52.4
INDORE,2008,8,90.3
INDORE,2008,9,90.3
INDORE,2008,10,16.4
INDORE,2008,11,24.1
INDORE,2008,12,0.0
INDORE,2009,1,0.0
INDORE,2009,2,0.0
INDORE,2009,3,51.3
