STATION,YEAR,MONTH,TEMPERATURE_C
INDORE,2000,1,12.7
INDORE,2000,2,17.7
INDORE,2000,3,18.5
INDORE,2000,4,26.5
INDORE,2000,5,32.1
INDORE,2000,6,34.5
INDORE,2000,7,33.2
INDORE,2000,8,34.3
INDORE,2000,9,31.6
INDORE,2000,10,22.2
INDORE,2000,11,18.5
INDORE,2000,12,11.8
INDORE,2001,1,13.2
INDORE,2001,2,15.4
INDORE,2001,3,18.4
INDORE,2001,4,28.7
INDORE,2001,5,28.9
INDORE,2001,6,33.0
INDORE,2001,7,33.1
INDORE,2001,8,35.8
INDORE,2001,9,31.3
INDORE,2001,10,24.4
INDORE,2001,11,17.6
INDORE,2001,12,16.7
INDORE,2002,1,9.5
INDORE,2002,2,13.8
INDORE,2002,3,20.2
INDORE,2002,4,26.9
INDORE,2002,5,30.4
INDORE,2002,6,37.3
INDORE,2002,7,36.6
INDORE,2002,8,33.0
INDORE,2002,9,33.7
INDORE,2002,10,27.0
INDORE,2002,11,17.7
INDORE,2002,12,17.7
INDORE,2003,1,16.1
INDORE,2003,2,16.3
INDORE,2003,3,18.4
INDORE,2003,4,21.0
INDORE,2003,5,31.7
INDORE,2003,6,34.4
INDORE,2003,7,36.0
INDORE,2003,8,36.0
INDORE,2003,9,32.0
INDORE,2003,10,26.9
INDORE,2003,11,18.3
INDORE,2003,12,11.7
INDORE,2004,1,13.5
INDORE,2004,2,14.1
INDORE,2004,3,18.2
INDORE,2004,4,23.4
INDORE,2004,5,31.8
INDORE,2004,6,35.7
INDORE,2004,7,36.9
INDORE,2004,8,35.3
INDORE,2004,9,35.9
INDORE,2004,10,25.6
INDORE,2004,11,16.7
INDORE,2004,12,16.1
INDORE,2005,1,11.2
INDORE,2005,2,11.8
INDORE,2005,3,23.4
INDORE,2005,4,23.9
INDORE,2005,5,30.0
INDORE,2005,6,35.5
INDORE,2005,7,37.9
INDORE,2005,8,38.5
INDORE,2005,9,30.4
INDORE,2005,10,22.5
INDORE,2005,11,21.6
INDORE,2005,12,15.0
INDORE,2006,1,14.6
INDORE,2006,2,12.0
INDORE,2006,3,19.6
INDORE,2006,4,25.7
INDORE,2006,5,31.5
INDORE,2006,6,34.0
INDORE,2006,7,37.9
INDORE,2006,8,36.7
INDORE,2006,9,32.6
INDORE,2006,10,23.4
INDORE,2006,11,19.8
INDORE,2006,12,18.4
INDORE,2007,1,11.5
INDORE,2007,2,13.0
INDORE,2007,3,19.7
INDORE,2007,4,26.7
INDORE,2007,5,33.9
INDORE,2007,6,40.8
INDORE,2007,7,35.3
INDORE,2007,8,36.4
INDORE,2007,9,32.4
INDORE,2007,10,24.9
INDORE,2007,11,16.0
INDORE,2007,12,16.3
INDORE,2008,1,10.5
INDORE,2008,2,15.4
INDORE,2008,3,19.3
INDORE,2008,4,22.7
INDORE,2008,5,32.1
INDORE,2008,6,37.5
INDORE,2008,7,35.1
INDORE,2008,8,36.4
INDORE,2008,9,38.7
INDORE,2008,10,27.3
INDORE,2008,11,20.3
INDORE,2008,12,16.1
INDORE,2009,1,12.5
INDORE,2009,2,14.8
INDORE,2009,3,15.3
INDORE,2009,4,21.8
INDORE,2009,5,33.2
INDORE,2009,6,33.2
INDORE,2009,7,38.4
INDORE,2009,8,35.8
INDORE,2009,9,29.7
INDORE,2009,10,26.3
INDORE,2009,11,19.4
INDORE,2009,12,16.3
INDORE,2010,1,12.8
INDORE,2010,2,16.3
INDORE,2010,3,18.3
INDORE,2010,4,23.7
INDORE,2010,5,31.8
INDORE,2010,6,37.2
INDORE,2010,7,39.1
INDORE,2010,8,34.4
INDORE,2010,9,29.6
INDORE,2010,10,26.5
INDORE,2010,11,18.9
INDORE,2010,12,12.6
INDORE,2011,1,10.5
INDORE,2011,2,11.7
INDORE,2011,3,19.3
INDORE,2011,4,22.1
INDORE,2011,5,31.0
INDORE,2011,6,36.3
INDORE,2011,7,35.8
INDORE,2011,8,34.6
INDORE,2011,9,32.3
INDORE,2011,10,22.5
INDORE,2011,11,15.1
INDORE,2011,12,15.8
INDORE,2012,1,11.8
INDORE,2012,2,13.6
INDORE,2012,3,20.7
INDORE,2012,4,23.6
INDORE,2012,5,31.6
INDORE,2012,6,36.7
INDORE,2012,7,35.9
INDORE,2012,8,36.6
INDORE,2012,9,31.2
INDORE,2012,10,23.8
INDORE,2012,11,18.6
INDORE,2012,12,16.8
INDORE,2013,1,14.6
INDORE,2013,2,14.6
INDORE,2013,3,18.4
INDORE,2013,4,24.7
INDORE,2013,5,32.2
INDORE,2013,6,39.6
INDORE,2013,7,34.6
INDORE,2013,8,37.0
INDORE,2013,9,32.3
INDORE,2013,10,23.2
INDORE,2013,11,17.6
INDORE,2013,12,14.3
INDORE,2014,1,12.4
INDORE,2014,2,13.5
INDORE,2014,3,19.5
INDORE,2014,4,24.0
INDORE,2014,5,31.5
INDORE,2014,6,32.6
INDORE,2014,7,36.6
INDORE,2014,8,38.3
INDORE,2014,9,30.7
INDORE,2014,10,23.0
INDORE,2014,11,18.4
INDORE,2014,12,13.0
INDORE,2015,1,16.1
INDORE,2015,2,15.4
INDORE,2015,3,18.2
INDORE,2015,4,25.0
INDORE,2015,5,29.5
INDORE,2015,6,36.4
INDORE,2015,7,38.9
INDORE,2015,8,33.9
INDORE,2015,9,31.4
INDORE,2015,10,23.4
INDORE,2015,11,17.8
INDORE,2015,12,13.6
INDORE,2016,1,13.3
INDORE,2016,2,18.4
INDORE,2016,3,17.8
INDORE,2016,4,26.0
INDORE,2016,5,34.7
INDORE,2016,6,34.5
INDORE,2016,7,39.7
INDORE,2016,8,37.9
INDORE,2016,9,29.8
INDORE,2016,10,25.1
INDORE,2016,11,20.2
INDORE,2016,12,14.3
INDORE,2017,1,14.0
INDORE,2017,2,12.4
INDORE,2017,3,21.6
INDORE,2017,4,23.5
INDORE,2017,5,31.2
INDORE,2017,6,35.5
INDORE,2017,7,40.5
INDORE,2017,8,37.3
INDORE,2017,9,33.7
INDORE,2017,10,26.4
INDORE,2017,11,15.5
INDORE,2017,12,10.5
INDORE,2018,1,14.4
INDORE,2018,2,14.8
INDORE,2018,3,16.2
INDORE,2018,4,24.9
INDORE,2018,5,30.9
INDORE,2018,6,35.2
INDORE,2018,7,38.3
INDORE,2018,8,33.5
INDORE,2018,9,28.9
INDORE,2018,10,26.9
INDORE,2018,11,20.0
INDORE,2018,12,13.0
INDORE,2019,1,10.9
INDORE,2019,2,12.2
INDORE,2019,3,19.1
INDORE,2019,4,25.4
INDORE,2019,5,30.6
INDORE,2019,6,36.9
INDORE,2019,7,35.8
INDORE,2019,8,30.8
INDORE,2019,9,33.7
INDORE,2019,10,24.5
INDORE,2019,11,19.6
INDORE,2019,12,16.8
INDORE,2020,1,11.1
INDORE,2020,2,15.0
INDORE,2020,3,16.2
INDORE,2020,4,22.8
INDORE,2020,5,32.8
INDORE,2020,6,38.4
INDORE,2020,7,35.3
INDORE,2020,8,36.5
INDORE,2020,9,30.6
INDORE,2020,10,22.2
INDORE,2020,11,22.8
INDORE,2020,12,15.7
INDORE,2021,1,12.0
INDORE,2021,2,12.9
INDORE,2021,3,17.3
INDORE,2021,4,24.9
INDORE,2021,5,29.2
INDORE,2021,6,36.9
INDORE,2021,7,35.0
INDORE,2021,8,36.9
INDORE,2021,9,32.1
INDORE,2021,10,26.1
INDORE,2021,11,15.4
INDORE,2021,12,14.7
INDORE,2022,1,11.2
INDORE,2022,2,11.3
INDORE,2022,3,16.6
INDORE,2022,4,25.1
INDORE,2022,5,30.2
INDORE,2022,6,34.2
INDORE,2022,7,34.7
INDORE,2022,8,38.3
INDORE,2022,9,29.4
INDORE,2022,10,24.6
INDORE,2022,11,17.8
INDORE,2022,12,14.3
INDORE,2023,1,13.5
INDORE,2023,2,13.8
INDORE,2023,3,18.1
INDORE,2023,4,24.2
INDORE,2023,5,35.2
INDORE,2023,6,34.7
INDORE,2023,7,36.2
INDORE,2023,8,33.4
INDORE,2023,9,30.3
INDORE,2023,10,28.4
INDORE,2023,11,18.6
INDORE,2023,12,10.2
BHOPAL,2000,1,14.5
BHOPAL,2000,2,16.9
BHOPAL,2000,3,18.2
BHOPAL,2000,4,29.5
BHOPAL,2000,5,31.5
BHOPAL,2000,6,33.7
BHOPAL,2000,7,35.3
BHOPAL,2000,8,34.4
BHOPAL,2000,9,31.7
BHOPAL,2000,10,24.0
BHOPAL,2000,11,17.0
BHOPAL,2000,12,15.4
BHOPAL,2001,1,11.2
BHOPAL,2001,2,17.3
BHOPAL,2001,3,22.8
BHOPAL,2001,4,22.5
BHOPAL,2001,5,34.0
BHOPAL,2001,6,35.3
BHOPAL,2001,7,34.7
BHOPAL,2001,8,35.7
BHOPAL,2001,9,32.5
BHOPAL,2001,10,25.4
BHOPAL,2001,11,19.9
BHOPAL,2001,12,17.3
BHOPAL,2002,1,12.0
BHOPAL,2002,2,14.4
BHOPAL,2002,3,21.2
BHOPAL,2002,4,28.1
BHOPAL,2002,5,30.1
BHOPAL,2002,6,32.1
BHOPAL,2002,7,37.1
BHOPAL,2002,8,32.8
BHOPAL,2002,9,34.3
BHOPAL,2002,10,22.0
BHOPAL,2002,11,18.5
BHOPAL,2002,12,14.5
BHOPAL,2003,1,14.4
BHOPAL,2003,2,16.9
BHOPAL,2003,3,16.8
BHOPAL,2003,4,25.1
BHOPAL,2003,5,31.0
BHOPAL,2003,6,35.1
BHOPAL,2003,7,35.9
BHOPAL,2003,8,34.3
BHOPAL,2003,9,31.2
BHOPAL,2003,10,28.0
BHOPAL,2003,11,21.2
BHOPAL,2003,12,10.5
BHOPAL,2004,1,12.3
BHOPAL,2004,2,13.1
BHOPAL,2004,3,22.5
BHOPAL,2004,4,27.5
BHOPAL,2004,5,28.7
BHOPAL,2004,6,36.4
BHOPAL,2004,7,38.4
BHOPAL,2004,8,34.6
BHOPAL,2004,9,31.9
BHOPAL,2004,10,27.3
BHOPAL,2004,11,20.2
BHOPAL,2004,12,14.0
BHOPAL,2005,1,10.5
BHOPAL,2005,2,14.2
BHOPAL,2005,3,21.1
BHOPAL,2005,4,22.2
BHOPAL,2005,5,32.2
BHOPAL,2005,6,38.9
BHOPAL,2005,7,40.4
BHOPAL,2005,8,35.2
BHOPAL,2005,9,31.8
BHOPAL,2005,10,27.2
BHOPAL,2005,11,19.3
BHOPAL,2005,12,14.5
BHOPAL,2006,1,9.6
BHOPAL,2006,2,16.1
BHOPAL,2006,3,18.6
BHOPAL,2006,4,25.7
BHOPAL,2006,5,29.4
BHOPAL,2006,6,33.4
BHOPAL,2006,7,33.6
BHOPAL,2006,8,36.3
BHOPAL,2006,9,33.0
BHOPAL,2006,10,27.0
BHOPAL,2006,11,16.4
BHOPAL,2006,12,14.7
BHOPAL,2007,1,11.5
BHOPAL,2007,2,13.1
BHOPAL,2007,3,16.2
BHOPAL,2007,4,22.3
BHOPAL,2007,5,33.1
BHOPAL,2007,6,40.7
BHOPAL,2007,7,37.4
BHOPAL,2007,8,36.8
BHOPAL,2007,9,31.2
BHOPAL,2007,10,24.8
BHOPAL,2007,11,17.6
BHOPAL,2007,12,18.1
BHOPAL,2008,1,16.6
BHOPAL,2008,2,13.5
BHOPAL,2008,3,20.9
BHOPAL,2008,4,21.9
BHOPAL,2008,5,30.5
BHOPAL,2008,6,36.6
BHOPAL,2008,7,34.3
BHOPAL,2008,8,36.6
BHOPAL,2008,9,33.2
BHOPAL,2008,10,25.9
BHOPAL,2008,11,15.7
BHOPAL,2008,12,15.0
BHOPAL,2009,1,10.4
BHOPAL,2009,2,16.7
BHOPAL,2009,3,20.4
BHOPAL,2009,4,25.1
BHOPAL,2009,5,30.0
BHOPAL,2009,6,34.5
BHOPAL,2009,7,36.4
BHOPAL,2009,8,34.4
BHOPAL,2009,9,29.2
BHOPAL,2009,10,24.1
BHOPAL,2009,11,19.4
BHOPAL,2009,12,11.6
BHOPAL,2010,1,14.8
BHOPAL,2010,2,16.7
BHOPAL,2010,3,21.8
BHOPAL,2010,4,24.3
BHOPAL,2010,5,33.9
BHOPAL,2010,6,34.3
BHOPAL,2010,7,36.4
BHOPAL,2010,8,33.6
BHOPAL,2010,9,29.5
BHOPAL,2010,10,25.5
BHOPAL,2010,11,17.0
BHOPAL,2010,12,14.2
BHOPAL,2011,1,14.3
BHOPAL,2011,2,15.4
BHOPAL,2011,3,20.0
BHOPAL,2011,4,29.9
BHOPAL,2011,5,29.9
BHOPAL,2011,6,34.3
BHOPAL,2011,7,39.4
BHOPAL,2011,8,34.3
BHOPAL,2011,9,31.9
BHOPAL,2011,10,26.3
BHOPAL,2011,11,16.0
BHOPAL,2011,12,18.2
BHOPAL,2012,1,12.2
BHOPAL,2012,2,15.3
BHOPAL,2012,3,23.0
BHOPAL,2012,4,23.4
BHOPAL,2012,5,29.5
BHOPAL,2012,6,39.0
BHOPAL,2012,7,37.4
BHOPAL,2012,8,37.8
BHOPAL,2012,9,29.9
BHOPAL,2012,10,27.1
BHOPAL,2012,11,22.7
BHOPAL,2012,12,13.9
BHOPAL,2013,1,15.2
BHOPAL,2013,2,15.6
BHOPAL,2013,3,21.3
BHOPAL,2013,4,26.3
BHOPAL,2013,5,31.3
BHOPAL,2013,6,33.8
BHOPAL,2013,7,36.2
BHOPAL,2013,8,37.9
BHOPAL,2013,9,31.1
BHOPAL,2013,10,26.5
BHOPAL,2013,11,23.3
BHOPAL,2013,12,15.0
BHOPAL,2014,1,16.2
BHOPAL,2014,2,15.2
BHOPAL,2014,3,19.4
BHOPAL,2014,4,25.4
BHOPAL,2014,5,28.9
BHOPAL,2014,6,34.0
BHOPAL,2014,7,34.0
BHOPAL,2014,8,36.1
BHOPAL,2014,9,30.9
BHOPAL,2014,10,28.8
BHOPAL,2014,11,14.6
BHOPAL,2014,12,13.6
BHOPAL,2015,1,14.4
BHOPAL,2015,2,13.5
BHOPAL,2015,3,20.7
BHOPAL,2015,4,24.8
BHOPAL,2015,5,28.9
BHOPAL,2015,6,34.0
BHOPAL,2015,7,37.5
BHOPAL,2015,8,36.1
BHOPAL,2015,9,33.9
BHOPAL,2015,10,27.2
BHOPAL,2015,11,19.9
BHOPAL,2015,12,15.5
BHOPAL,2016,1,15.7
BHOPAL,2016,2,16.0
BHOPAL,2016,3,21.9
BHOPAL,2016,4,28.6
BHOPAL,2016,5,28.1
BHOPAL,2016,6,34.0
BHOPAL,2016,7,35.7
BHOPAL,2016,8,31.6
BHOPAL,2016,9,26.2
BHOPAL,2016,10,26.5
BHOPAL,2016,11,19.9
BHOPAL,2016,12,14.5
BHOPAL,2017,1,10.7
BHOPAL,2017,2,16.4
BHOPAL,2017,3,19.1
BHOPAL,2017,4,20.9
BHOPAL,2017,5,29.6
BHOPAL,2017,6,34.8
BHOPAL,2017,7,38.3
BHOPAL,2017,8,36.5
BHOPAL,2017,9,32.8
BHOPAL,2017,10,23.7
BHOPAL,2017,11,19.8
BHOPAL,2017,12,15.9
BHOPAL,2018,1,11.9
BHOPAL,2018,2,15.0
BHOPAL,2018,3,17.6
BHOPAL,2018,4,25.4
BHOPAL,2018,5,30.0
BHOPAL,2018,6,36.2
BHOPAL,2018,7,35.9
BHOPAL,2018,8,39.7
BHOPAL,2018,9,31.9
BHOPAL,2018,10,25.2
BHOPAL,2018,11,17.0
BHOPAL,2018,12,11.3
BHOPAL,2019,1,14.3
BHOPAL,2019,2,17.8
BHOPAL,2019,3,16.1
BHOPAL,2019,4,27.1
BHOPAL,2019,5,30.1
BHOPAL,2019,6,35.3
BHOPAL,2019,7,38.8
BHOPAL,2019,8,32.2
BHOPAL,2019,9,33.8
BHOPAL,2019,10,25.8
BHOPAL,2019,11,19.5
BHOPAL,2019,12,13.3
BHOPAL,2020,1,15.3
BHOPAL,2020,2,13.9
BHOPAL,2020,3,13.3
BHOPAL,2020,4,21.5
BHOPAL,2020,5,28.8
BHOPAL,2020,6,37.7
BHOPAL,2020,7,37.7
BHOPAL,2020,8,36.3
BHOPAL,2020,9,28.4
BHOPAL,2020,10,24.0
BHOPAL,2020,11,18.1
BHOPAL,2020,12,16.3
BHOPAL,2021,1,12.3
BHOPAL,2021,2,18.8
BHOPAL,2021,3,19.9
BHOPAL,2021,4,25.5
BHOPAL,2021,5,30.6
BHOPAL,2021,6,35.3
BHOPAL,2021,7,37.1
BHOPAL,2021,8,35.2
BHOPAL,2021,9,27.0
BHOPAL,2021,10,25.7
BHOPAL,2021,11,13.2
BHOPAL,2021,12,14.3
BHOPAL,2022,1,10.9
BHOPAL,2022,2,12.5
BHOPAL,2022,3,22.8
BHOPAL,2022,4,25.4
BHOPAL,2022,5,32.0
BHOPAL,2022,6,36.1
BHOPAL,2022,7,36.9
BHOPAL,2022,8,37.5
BHOPAL,2022,9,33.4
BHOPAL,2022,10,22.7
BHOPAL,2022,11,16.7
BHOPAL,2022,12,13.1
BHOPAL,2023,1,13.7
BHOPAL,2023,2,15.5
BHOPAL,2023,3,19.9
BHOPAL,2023,4,26.9
BHOPAL,2023,5,28.5
BHOPAL,2023,6,36.8
BHOPAL,2023,7,39.8
BHOPAL,2023,8,35.6
BHOPAL,2023,9,31.0
BHOPAL,2023,10,22.1
BHOPAL,2023,11,17.3
BHOPAL,2023,12,10.3
JABALPUR,2000,1,10.4
JABALPUR,2000,2,16.6
JABALPUR,2000,3,23.5
JABALPUR,2000,4,24.4
JABALPUR,2000,5,35.6
JABALPUR,2000,6,32.1
JABALPUR,2000,7,41.9
JABALPUR,2000,8,36.5
JABALPUR,2000,9,32.7
JABALPUR,2000,10,25.6
JABALPUR,2000,11,18.9
JABALPUR,2000,12,14.0
JABALPUR,2001,1,12.8
JABALPUR,2001,2,12.4
JABALPUR,2001,3,21.8
JABALPUR,2001,4,21.9
JABALPUR,2001,5,32.9
JABALPUR,2001,6,34.9
JABALPUR,2001,7,35.1
JABALPUR,2001,8,32.7
JABALPUR,2001,9,31.6
JABALPUR,2001,10,25.9
JABALPUR,2001,11,20.1
JABALPUR,2001,12,17.3
JABALPUR,2002,1,12.1
JABALPUR,2002,2,15.7
JABALPUR,2002,3,19.1
JABALPUR,2002,4,23.7
JABALPUR,2002,5,34.5
JABALPUR,2002,6,34.0
JABALPUR,2002,7,38.8
JABALPUR,2002,8,37.9
JABALPUR,2002,9,31.6
JABALPUR,2002,10,29.3
JABALPUR,2002,11,19.6
JABALPUR,2002,12,15.4
JABALPUR,2003,1,12.7
JABALPUR,2003,2,14.3
JABALPUR,2003,3,23.4
JABALPUR,2003,4,22.3
JABALPUR,2003,5,36.2
JABALPUR,2003,6,38.7
JABALPUR,2003,7,35.9
JABALPUR,2003,8,38.6
JABALPUR,2003,9,30.6
JABALPUR,2003,10,23.0
JABALPUR,2003,11,16.6
JABALPUR,2003,12,13.1
JABALPUR,2004,1,9.9
JABALPUR,2004,2,16.3
